ITS2 profile abundance DB		367	55	38	84	1	1	4	19	103	6	4	17	87	283	356	1721	118	222	50	25	17	4	42	133	31	63	46	5	118	65	16	11	10	10	3	5	43	11	6	4	26	25	28	39	94	26	30	315	15	50	5	1
ITS2 type profile		A1	A1/A1gr/A1gd	A1-A1eq-A1ep-A1hw	A1/A1g	A1qf	A1qe	A1-A1qd-A1qe	A1/A1cl	A1-A1bw-A1bf-A1bx-A1eb	A2y	A1gd	A1-A1gr-A1gd-A1mm-A1bf	C3/C50b-C3bm-C50f-C21-C3b-C3acq	C3k/C3-C50a-C3ba-C50f-C3dq-C21ab-C3a-C3b	C3k/C3-C50a-C3ba-C29-C21ab-C50f-C3dq-C3a	C1/C3-C1c-C1b-C72k-C3ju	C50b/C3-C3bm-C50f-C21-C3b-C21ba	C21/C1	C3bo/C3k/C3-C3bp-C50a-C3jq-C3a-C3dq	C3k/C3-C3ba-C3a-C50f-C3dq-C50a-C3acr-C50aj	C21du/C21	C21dw/C3-C21fc-C21fz-C26	C50b	C21/C3a	C26/C21ac	C50b-C3-C3bm-C50f-C21-C3b	C3k	C1p-C3ds-C1	C3k/C1/C3-C1c-C50a-C3dq-C1b-C3ba-C50y	C21	C31	C3fn/C3-C3fv-C115d	C50b/C3-C3k-C50a-C50f-C3ba	C31/C21	C3k/C1-C3-C50a-C3cz-C3ba	C31-C21-C21ac	C1/C7	C26/C21-C21ac-C50b	C3bo/C3/C3k-C50a-C3bp-C29	C3k-C3-C50a-C3jv-C21ab	C21dw/C21fc-C21fz-C21fh-C3-C21ac-C21fg-C21gb-C21ez-C21gc	C1-C21-C1c	C15h/C15k	C50b-C3-C3bh-C3bm-C50f	C3/C3k-C50a-C3.10-C3gj-C21-C21cf	C3k/C1/C3/C42.2-C50a-C1b	D1/D2.2/D4-D2	D1-D4-D2-D1u-D2.2	D1/D4-D2-D17c-D17d-D1r-D17e	D1-D17i-D4-D1r-D17s-D17r	D1/D17i	F4q
227291	I050-24	0	0	0	0	0	0	0	0	0	0	0	0	33780.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227308	I069-24	0	0	0	0	0	0	0	0	0	0	0	0	46535.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227298	I057-24	0	0	0	0	0	0	0	0	0	0	0	0	30506.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227257	I001-24	0	0	0	0	0	0	0	0	0	0	0	0	9641.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227258	I002-24	0	0	0	0	0	0	0	0	0	0	0	0	29506.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227302	I063-24	0	0	0	0	0	0	0	0	0	0	0	0	31178.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227272	I020-24	0	0	0	0	0	0	0	0	0	0	0	0	2197.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227261	I005-24	0	0	0	0	0	0	0	0	0	0	0	0	19033.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227292	I051-24	0	0	0	0	0	0	0	0	0	0	0	0	59371.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227260	I004-24	0	0	0	0	0	0	0	0	0	0	0	0	16762.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
